Island;Islandname;Year;ringed_ad_recorded;estimated_pop_size
20;Nesøy;1992;4;NA
20;Nesøy;1993;12;17
20;Nesøy;1994;14;21
20;Nesøy;1995;13;17
20;Nesøy;1996;16;18
20;Nesøy;1997;18;23
20;Nesøy;1998;21;26
20;Nesøy;1999;18;19
20;Nesøy;2000;26;28
20;Nesøy;2001;24;26
20;Nesøy;2002;20;24
20;Nesøy;2003;11;14
20;Nesøy;2004;15;22
20;Nesøy;2005;23;28
20;Nesøy;2006;13;21
20;Nesøy;2007;10;12
20;Nesøy;2008;11;21
20;Nesøy;2009;13;17
20;Nesøy;2010;13;17
20;Nesøy;2011;15;35
20;Nesøy;2012;16;23
20;Nesøy;2013;6;9
20;Nesøy;2014;5;7
20;Nesøy;2015;3;6
20;Nesøy;2016;9;12
20;Nesøy;2017;8;11
20;Nesøy;2018;19;29
20;Nesøy;2019;4;8
20;Nesøy;2020;10;14
20;Nesøy;2021;8;NA
22;Myken;1992;1;NA
22;Myken;1993;1;3
22;Myken;1994;5;8
22;Myken;1995;12;15
22;Myken;1996;9;12
22;Myken;1997;16;19
22;Myken;1998;15;19
22;Myken;1999;30;37
22;Myken;2000;29;31
22;Myken;2001;29;38
22;Myken;2002;16;34
22;Myken;2003;21;46
22;Myken;2004;17;25
22;Myken;2005;17;37
22;Myken;2006;14;27
22;Myken;2007;15;32
22;Myken;2008;10;22
22;Myken;2009;9;13
22;Myken;2010;11;22
22;Myken;2011;22;27
22;Myken;2012;19;36
22;Myken;2013;6;10
22;Myken;2014;0;0
22;Myken;2015;4;6
22;Myken;2016;11;13
22;Myken;2017;5;6
22;Myken;2018;13;21
22;Myken;2019;6;8
22;Myken;2020;13;17
22;Myken;2021;2;NA
23;Træna;1992;7;NA
23;Træna;1993;16;30
23;Træna;1994;22;29
23;Træna;1995;29;56
23;Træna;1996;17;60
23;Træna;1997;17;38
23;Træna;1998;29;45
23;Træna;1999;63;77
23;Træna;2000;8;14
23;Træna;2001;3;7
23;Træna;2002;3;8
23;Træna;2003;3;8
23;Træna;2004;22;50
23;Træna;2005;36;57
23;Træna;2006;27;76
23;Træna;2007;53;88
23;Træna;2008;23;28
23;Træna;2009;34;57
23;Træna;2010;35;50
23;Træna;2011;71;113
23;Træna;2012;42;54
23;Træna;2013;50;69
23;Træna;2014;68;83
23;Træna;2015;112;145
23;Træna;2016;88;127
23;Træna;2017;70;79
23;Træna;2018;69;92
