"Year_ID_Location";"Year_ID";"ID";"Year_Location";"Year";"Location";"Island";"in_out";"Least_age";"Least_hatchyear";"filled";"obs";"capt";"gene_new";"Sex";"Own_survival";"N_Recruits";"r2s";"parent_in_pedigree";"present_in_pedigree";"ever_a_parent";"ringed_ad_recorded";"estimated_pop_size";"observed_breeding_popsize"
"1";"2008_8118424_indre kvarøy";"2008_8118424";"8118424";"2008_indre kvarøy";2008;"indre kvarøy";28;0;1;2007;"no";"obs";NA;NA;"m";1;1;3;"yes";"yes";"yes";45;68;55
"2";"2009_8118424_indre kvarøy";"2009_8118424";"8118424";"2009_indre kvarøy";2009;"indre kvarøy";28;0;2;2007;"no";NA;"capt";NA;"m";1;5;7;"yes";"yes";"yes";30;41;32
"3";"2010_8118424_indre kvarøy";"2010_8118424";"8118424";"2010_indre kvarøy";2010;"indre kvarøy";28;0;3;2007;"no";NA;"capt";NA;"m";1;0;2;"yes";"yes";"yes";50;60;55
"4";"2011_8118424_indre kvarøy";"2011_8118424";"8118424";"2011_indre kvarøy";2011;"indre kvarøy";28;0;4;2007;"gene_new";NA;NA;"gene_new";"m";0;1;1;"yes";"yes";"yes";63;129;90
"5";"2008_8118425_indre kvarøy";"2008_8118425";"8118425";"2008_indre kvarøy";2008;"indre kvarøy";28;0;1;2007;"no";"obs";"capt";NA;"f";0;0;0;"yes";"yes";"yes";45;68;55
"6";"2008_8118426_indre kvarøy";"2008_8118426";"8118426";"2008_indre kvarøy";2008;"indre kvarøy";28;0;1;2007;"no";"obs";"capt";NA;"m";1;0;2;"yes";"yes";"yes";45;68;55
"7";"2009_8118426_indre kvarøy";"2009_8118426";"8118426";"2009_indre kvarøy";2009;"indre kvarøy";28;0;2;2007;"no";NA;"capt";NA;"m";1;4;6;"yes";"yes";"yes";30;41;32
"8";"2010_8118426_indre kvarøy";"2010_8118426";"8118426";"2010_indre kvarøy";2010;"indre kvarøy";28;0;3;2007;"no";"obs";"capt";NA;"m";0;0;0;"no";"yes";"yes";50;60;55
"9";"2007_8118429_indre kvarøy";"2007_8118429";"8118429";"2007_indre kvarøy";2007;"indre kvarøy";28;0;1;2006;"no";NA;"capt";NA;"m";0;0;0;"no";"yes";"never";42;57;56
"10";"2008_8118430_indre kvarøy";"2008_8118430";"8118430";"2008_indre kvarøy";2008;"indre kvarøy";28;0;1;2007;"no";NA;"capt";NA;"m";0;0;0;"no";"yes";"never";45;68;55
"11";"2008_8118432_gjerøy";"2008_8118432";"8118432";"2008_gjerøy";2008;"gjerøy";26;0;1;2007;"no";NA;"capt";NA;"f";1;1;3;"yes";"yes";"yes";92;121;103
"12";"2009_8118432_gjerøy";"2009_8118432";"8118432";"2009_gjerøy";2009;"gjerøy";26;0;2;2007;"no";"obs";"capt";NA;"f";0;1;1;"yes";"yes";"yes";88;107;98
"13";"2008_8118433_gjerøy";"2008_8118433";"8118433";"2008_gjerøy";2008;"gjerøy";26;0;1;2007;"no";"obs";"capt";NA;"m";1;0;2;"no";"yes";"yes";92;121;103
"14";"2009_8118433_gjerøy";"2009_8118433";"8118433";"2009_gjerøy";2009;"gjerøy";26;0;2;2007;"no";"obs";NA;NA;"m";1;3;5;"yes";"yes";"yes";88;107;98
"15";"2010_8118433_gjerøy";"2010_8118433";"8118433";"2010_gjerøy";2010;"gjerøy";26;0;3;2007;"gene_new";NA;NA;"gene_new";"m";0;6;6;"yes";"yes";"yes";98;136;122
"16";"2007_8118435_gjerøy";"2007_8118435";"8118435";"2007_gjerøy";2007;"gjerøy";26;0;1;2006;"no";"obs";"capt";NA;"f";1;3;5;"yes";"yes";"yes";56;108;75
"17";"2008_8118435_gjerøy";"2008_8118435";"8118435";"2008_gjerøy";2008;"gjerøy";26;0;2;2006;"no";"obs";NA;NA;"f";1;1;3;"yes";"yes";"yes";92;121;103
"18";"2009_8118435_gjerøy";"2009_8118435";"8118435";"2009_gjerøy";2009;"gjerøy";26;0;3;2006;"no";"obs";"capt";NA;"f";0;3;3;"yes";"yes";"yes";88;107;98
"19";"2008_8118437_gjerøy";"2008_8118437";"8118437";"2008_gjerøy";2008;"gjerøy";26;0;1;2007;"no";"obs";"capt";NA;"m";0;0;0;"no";"no";"never";92;121;103
"20";"1999_8168601_aldra";"1999_8168601";"8168601";"1999_aldra";1999;"aldra";38;0;1;1998;"no";"obs";NA;NA;"m";1;6;8;"yes";"yes";"yes";7;11;7
"21";"2000_8168601_aldra";"2000_8168601";"8168601";"2000_aldra";2000;"aldra";38;0;2;1998;"no";"obs";NA;NA;"m";1;5;7;"yes";"yes";"yes";18;23;19
"22";"2001_8168601_aldra";"2001_8168601";"8168601";"2001_aldra";2001;"aldra";38;0;3;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"yes";29;33;28
"23";"1999_8168602_aldra";"1999_8168602";"8168602";"1999_aldra";1999;"aldra";38;0;1;1998;"no";"obs";"capt";NA;"f";1;3;5;"yes";"yes";"yes";7;11;7
"24";"2000_8168602_aldra";"2000_8168602";"8168602";"2000_aldra";2000;"aldra";38;0;2;1998;"gene_new";NA;NA;"gene_new";"f";0;1;1;"yes";"yes";"yes";18;23;19
"25";"1999_8168603_aldra";"1999_8168603";"8168603";"1999_aldra";1999;"aldra";38;0;1;1998;"no";"obs";"capt";NA;"m";0;0;0;"no";"yes";"never";7;11;7
"26";"1999_8168605_aldra";"1999_8168605";"8168605";"1999_aldra";1999;"aldra";38;0;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"yes";"yes";7;11;7
"27";"2000_8168605_aldra";"2000_8168605";"8168605";"2000_aldra";2000;"aldra";38;0;2;1998;"no";"obs";"capt";NA;"m";1;2;4;"yes";"yes";"yes";18;23;19
"28";"2001_8168605_aldra";"2001_8168605";"8168605";"2001_aldra";2001;"aldra";38;0;3;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"yes";29;33;28
"29";"1999_8168606_aldra";"1999_8168606";"8168606";"1999_aldra";1999;"aldra";38;0;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"yes";"yes";7;11;7
"30";"2000_8168606_aldra";"2000_8168606";"8168606";"2000_aldra";2000;"aldra";38;0;2;1998;"no";NA;"capt";NA;"m";0;1;1;"yes";"yes";"yes";18;23;19
"31";"1999_8168607_indre kvarøy";"1999_8168607";"8168607";"1999_indre kvarøy";1999;"indre kvarøy";28;0;1;1998;"no";"obs";NA;NA;"f";0;0;0;"no";"yes";"never";44;51;49
"32";"1999_8168608_indre kvarøy";"1999_8168608";"8168608";"1999_indre kvarøy";1999;"indre kvarøy";28;0;1;1998;"no";"obs";NA;NA;"m";0;1;1;"yes";"yes";"yes";44;51;49
"33";"1998_8168610_indre kvarøy";"1998_8168610";"8168610";"1998_indre kvarøy";1998;"indre kvarøy";28;0;1;1997;"no";NA;"capt";NA;"m";1;3;5;"yes";"yes";"yes";41;51;49
"34";"1999_8168610_indre kvarøy";"1999_8168610";"8168610";"1999_indre kvarøy";1999;"indre kvarøy";28;0;2;1997;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"yes";44;51;49
"35";"1999_8168612_indre kvarøy";"1999_8168612";"8168612";"1999_indre kvarøy";1999;"indre kvarøy";28;0;1;1998;"no";"obs";NA;NA;"m";1;0;2;"no";"yes";"yes";44;51;49
"36";"2000_8168612_indre kvarøy";"2000_8168612";"8168612";"2000_indre kvarøy";2000;"indre kvarøy";28;0;2;1998;"no";"obs";NA;NA;"m";1;2;4;"yes";"yes";"yes";25;32;30
"37";"2001_8168612_indre kvarøy";"2001_8168612";"8168612";"2001_indre kvarøy";2001;"indre kvarøy";28;0;3;1998;"no";"obs";NA;NA;"m";0;1;1;"yes";"yes";"yes";32;40;35
"38";"1999_8168613_hestmannøy";"1999_8168613";"8168613";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";"obs";NA;NA;"f";1;0;2;"no";"yes";"yes";120;154;133
"39";"2000_8168613_hestmannøy";"2000_8168613";"8168613";"2000_hestmannøy";2000;"hestmannøy";27;0;2;1998;"no";"obs";NA;NA;"f";1;2;4;"yes";"yes";"yes";108;121;123
"40";"2001_8168613_hestmannøy";"2001_8168613";"8168613";"2001_hestmannøy";2001;"hestmannøy";27;0;3;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"yes";"yes";105;141;117
"41";"1999_8168614_indre kvarøy";"1999_8168614";"8168614";"1999_indre kvarøy";1999;"indre kvarøy";28;0;1;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";44;51;49
"42";"2000_8168614_indre kvarøy";"2000_8168614";"8168614";"2000_indre kvarøy";2000;"indre kvarøy";28;0;2;1998;"yes";NA;NA;NA;"f";1;1;3;"yes";"yes";"yes";25;32;30
"43";"2001_8168614_indre kvarøy";"2001_8168614";"8168614";"2001_indre kvarøy";2001;"indre kvarøy";28;0;3;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";32;40;35
"44";"2002_8168614_indre kvarøy";"2002_8168614";"8168614";"2002_indre kvarøy";2002;"indre kvarøy";28;0;4;1998;"no";NA;"capt";NA;"f";1;1;3;"yes";"yes";"yes";31;38;33
"45";"2003_8168614_indre kvarøy";"2003_8168614";"8168614";"2003_indre kvarøy";2003;"indre kvarøy";28;0;5;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";30;50;36
"46";"2004_8168614_indre kvarøy";"2004_8168614";"8168614";"2004_indre kvarøy";2004;"indre kvarøy";28;0;6;1998;"gene_new";NA;NA;"gene_new";"f";1;3;5;"yes";"yes";"yes";24;31;33
"47";"2005_8168614_indre kvarøy";"2005_8168614";"8168614";"2005_indre kvarøy";2005;"indre kvarøy";28;0;7;1998;"gene_new";NA;NA;"gene_new";"f";0;1;1;"yes";"yes";"yes";34;58;45
"48";"1999_8168615_lurøy-onøy";"1999_8168615";"8168615";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"yes";NA;NA;NA;"f";1;1;3;"yes";"yes";"yes";35;108;43
"49";"2000_8168615_lurøy-onøy";"2000_8168615";"8168615";"2000_lurøy-onøy";2000;"lurøy-onøy";33;0;2;1998;"no";NA;"capt";NA;"f";1;0;2;"yes";"yes";"yes";41;71;42
"50";"2001_8168615_lurøy-onøy";"2001_8168615";"8168615";"2001_lurøy-onøy";2001;"lurøy-onøy";33;0;3;1998;"gene_new";NA;NA;"gene_new";"f";1;1;3;"yes";"yes";"yes";25;61;30
"51";"2002_8168615_lurøy-onøy";"2002_8168615";"8168615";"2002_lurøy-onøy";2002;"lurøy-onøy";33;0;4;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";9;12;15
"52";"2003_8168615_lurøy-onøy";"2003_8168615";"8168615";"2003_lurøy-onøy";2003;"lurøy-onøy";33;0;5;1998;"gene_new";NA;NA;"gene_new";"f";0;1;1;"yes";"yes";"yes";15;20;25
"53";"1999_8168617_lovund";"1999_8168617";"8168617";"1999_lovund";1999;"lovund";34;1;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"yes";"yes";24;44;26
"54";"2000_8168617_lovund";"2000_8168617";"8168617";"2000_lovund";2000;"lovund";34;1;2;1998;"yes";NA;NA;NA;"m";1;0;2;"no";"yes";"yes";4;16;6
"55";"2001_8168617_lovund";"2001_8168617";"8168617";"2001_lovund";2001;"lovund";34;1;3;1998;"no";"obs";NA;NA;"m";1;3;5;"yes";"yes";"yes";4;8;6
"56";"2002_8168617_lovund";"2002_8168617";"8168617";"2002_lovund";2002;"lovund";34;1;4;1998;"no";"obs";NA;NA;"m";1;0;2;"no";"yes";"yes";7;12;12
"57";"2003_8168617_lovund";"2003_8168617";"8168617";"2003_lovund";2003;"lovund";34;1;5;1998;"gene_new";NA;NA;"gene_new";"m";1;1;3;"yes";"yes";"yes";18;44;22
"58";"2004_8168617_lovund";"2004_8168617";"8168617";"2004_lovund";2004;"lovund";34;1;6;1998;"gene_new";NA;NA;"gene_new";"m";0;3;3;"yes";"yes";"yes";27;51;35
"59";"1999_8168618_lurøy-onøy";"1999_8168618";"8168618";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"no";"obs";NA;NA;"f";0;0;0;"no";"no";"never";35;108;43
"60";"1999_8168619_lurøy-onøy";"1999_8168619";"8168619";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"never";35;108;43
"61";"1999_8168624_lurøy-onøy";"1999_8168624";"8168624";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"no";"obs";NA;NA;"m";0;0;0;"no";"no";"never";35;108;43
"62";"1999_8168631_lurøy-onøy";"1999_8168631";"8168631";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"no";"obs";NA;NA;"f";0;0;0;"no";"yes";"never";35;108;43
"63";"1999_8168632_lurøy-onøy";"1999_8168632";"8168632";"1999_lurøy-onøy";1999;"lurøy-onøy";33;0;1;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"no";"never";35;108;43
"64";"1999_8168634_hestmannøy";"1999_8168634";"8168634";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"no";"never";120;154;133
"65";"2000_8168634_hestmannøy";"2000_8168634";"8168634";"2000_hestmannøy";2000;"hestmannøy";27;0;2;1998;"no";NA;"capt";NA;"m";1;0;2;"no";"no";"never";108;121;123
"66";"2001_8168634_hestmannøy";"2001_8168634";"8168634";"2001_hestmannøy";2001;"hestmannøy";27;0;3;1998;"no";NA;"capt";NA;"m";1;0;2;"no";"no";"never";105;141;117
"67";"2002_8168634_hestmannøy";"2002_8168634";"8168634";"2002_hestmannøy";2002;"hestmannøy";27;0;4;1998;"no";NA;"capt";NA;"m";0;0;0;"no";"no";"never";62;81;75
"68";"1999_8168635_hestmannøy";"1999_8168635";"8168635";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";NA;"capt";NA;"m";0;0;0;"no";"no";"never";120;154;133
"69";"1999_8168636_hestmannøy";"1999_8168636";"8168636";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";NA;"capt";NA;"m";0;0;0;"no";"yes";"never";120;154;133
"70";"1999_8168637_hestmannøy";"1999_8168637";"8168637";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";"obs";"capt";NA;"f";1;0;2;"no";"no";"never";120;154;133
"71";"2000_8168637_hestmannøy";"2000_8168637";"8168637";"2000_hestmannøy";2000;"hestmannøy";27;0;2;1998;"no";NA;"capt";NA;"f";1;0;2;"no";"no";"never";108;121;123
"72";"2001_8168637_hestmannøy";"2001_8168637";"8168637";"2001_hestmannøy";2001;"hestmannøy";27;0;3;1998;"no";"obs";"capt";NA;"f";1;0;2;"no";"no";"never";105;141;117
"73";"2002_8168637_hestmannøy";"2002_8168637";"8168637";"2002_hestmannøy";2002;"hestmannøy";27;0;4;1998;"no";NA;"capt";NA;"f";0;0;0;"no";"no";"never";62;81;75
"74";"1999_8168638_hestmannøy";"1999_8168638";"8168638";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"yes";"yes";120;154;133
"75";"2000_8168638_hestmannøy";"2000_8168638";"8168638";"2000_hestmannøy";2000;"hestmannøy";27;0;2;1998;"no";NA;"capt";NA;"m";1;1;3;"yes";"yes";"yes";108;121;123
"76";"2001_8168638_hestmannøy";"2001_8168638";"8168638";"2001_hestmannøy";2001;"hestmannøy";27;0;3;1998;"no";"obs";NA;NA;"m";1;0;2;"no";"yes";"yes";105;141;117
"77";"2002_8168638_hestmannøy";"2002_8168638";"8168638";"2002_hestmannøy";2002;"hestmannøy";27;0;4;1998;"no";NA;"capt";NA;"m";1;2;4;"yes";"yes";"yes";62;81;75
"78";"2003_8168638_hestmannøy";"2003_8168638";"8168638";"2003_hestmannøy";2003;"hestmannøy";27;0;5;1998;"yes";NA;NA;NA;"m";1;0;2;"no";"yes";"yes";72;191;97
"79";"2004_8168638_hestmannøy";"2004_8168638";"8168638";"2004_hestmannøy";2004;"hestmannøy";27;0;6;1998;"no";NA;"capt";NA;"m";1;2;4;"yes";"yes";"yes";75;88;94
"80";"2005_8168638_hestmannøy";"2005_8168638";"8168638";"2005_hestmannøy";2005;"hestmannøy";27;0;7;1998;"no";NA;"capt";NA;"m";0;1;1;"yes";"yes";"yes";99;166;132
"81";"1999_8168639_gjerøy";"1999_8168639";"8168639";"1999_gjerøy";1999;"gjerøy";26;0;1;1998;"no";NA;"capt";NA;"f";1;0;2;"no";"yes";"yes";63;78;70
"82";"2000_8168639_gjerøy";"2000_8168639";"8168639";"2000_gjerøy";2000;"gjerøy";26;0;2;1998;"no";NA;"capt";NA;"f";0;3;3;"yes";"yes";"yes";61;67;66
"83";"2000_8168642_hestmannøy";"2000_8168642";"8168642";"2000_hestmannøy";2000;"hestmannøy";27;0;1;1999;"no";NA;"capt";NA;"f";0;0;0;"no";"yes";"never";108;121;123
"84";"2000_8168644_hestmannøy";"2000_8168644";"8168644";"2000_hestmannøy";2000;"hestmannøy";27;0;1;1999;"no";"obs";"capt";NA;"m";0;0;0;"no";"yes";"never";108;121;123
"85";"2000_8168646_gjerøy";"2000_8168646";"8168646";"2000_gjerøy";2000;"gjerøy";26;0;1;1999;"no";"obs";NA;NA;"m";0;0;0;"no";"yes";"never";61;67;66
"86";"1999_8168648_gjerøy";"1999_8168648";"8168648";"1999_gjerøy";1999;"gjerøy";26;0;1;1998;"no";NA;"capt";NA;"m";0;1;1;"yes";"yes";"yes";63;78;70
"87";"1999_8168649_gjerøy";"1999_8168649";"8168649";"1999_gjerøy";1999;"gjerøy";26;0;1;1998;"no";NA;"capt";NA;"f";0;0;0;"no";"yes";"never";63;78;70
"88";"1999_8168650_hestmannøy";"1999_8168650";"8168650";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";NA;"capt";NA;"f";0;0;0;"no";"yes";"never";120;154;133
"89";"1999_8168654_hestmannøy";"1999_8168654";"8168654";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"no";"never";120;154;133
"90";"2000_8168654_hestmannøy";"2000_8168654";"8168654";"2000_hestmannøy";2000;"hestmannøy";27;0;2;1998;"no";"obs";"capt";NA;"m";0;0;0;"no";"no";"never";108;121;123
"91";"1999_8168655_hestmannøy";"1999_8168655";"8168655";"1999_hestmannøy";1999;"hestmannøy";27;0;1;1998;"no";NA;"capt";NA;"f";0;0;0;"no";"yes";"never";120;154;133
"92";"1999_8168656_myken";"1999_8168656";"8168656";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"f";1;0;2;"no";"no";"never";30;37;32
"93";"2000_8168656_myken";"2000_8168656";"8168656";"2000_myken";2000;"myken";22;1;2;1998;"no";NA;"capt";NA;"f";1;0;2;"no";"no";"never";29;31;33
"94";"2001_8168656_myken";"2001_8168656";"8168656";"2001_myken";2001;"myken";22;1;3;1998;"no";"obs";NA;NA;"f";1;0;2;"no";"no";"never";29;38;34
"95";"2002_8168656_myken";"2002_8168656";"8168656";"2002_myken";2002;"myken";22;1;4;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"no";"never";16;34;22
"96";"1999_8168657_myken";"1999_8168657";"8168657";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"f";0;0;0;"no";"no";"never";30;37;32
"97";"1999_8168658_myken";"1999_8168658";"8168658";"1999_myken";1999;"myken";22;1;1;1998;"no";NA;"capt";NA;"f";1;0;2;"no";"yes";"yes";30;37;32
"98";"2000_8168658_myken";"2000_8168658";"8168658";"2000_myken";2000;"myken";22;1;2;1998;"yes";NA;NA;NA;"f";1;0;2;"no";"yes";"yes";29;31;33
"99";"2001_8168658_myken";"2001_8168658";"8168658";"2001_myken";2001;"myken";22;1;3;1998;"gene_new";NA;NA;"gene_new";"f";0;2;2;"yes";"yes";"yes";29;38;34
"100";"1999_8168659_myken";"1999_8168659";"8168659";"1999_myken";1999;"myken";22;1;1;1998;"no";"obs";"capt";NA;"m";1;0;2;"no";"no";"never";30;37;32
